index,apartment_type,metro_station,minutes_to_metro,region,number_of_rooms,area,living_area,kitchen_area,floor,number_of_floors,renovation,price
2612,Secondary,Красногвардейская,13,Moscow region,0,21.33,13.6,8.1,1,5,Cosmetic,4961630.0
2613,Secondary,Минская,23,Moscow,2,48.54,29.7,15.1,19,8,Designer,26714919.0
2614,Secondary,Университет,7,Moscow,4,200.82,113.7,20.6,1,10,European-style renovation,153654117.0
2615,Secondary,Солнцево,20,Moscow,0,21.55,12.0,4.2,22,8,European-style renovation,7232154.0
2616,New building,Красногвардейская,10,Moscow region,1,61.39,33.7,8.3,15,20,Cosmetic,8902243.0
2617,Secondary,Медведково,13,Moscow,3,49.5,20.0,8.9,5,3,Cosmetic,6243763.0
2618,Secondary,Спортивная,8,Moscow,5,167.68,50.1,31.9,3,10,European-style renovation,210908275.0
2619,Secondary,Хлебниково,8,Moscow,2,22.32,11.3,8.1,1,18,Without renovation,8378794.0
2620,Secondary,Октябрьское поле,8,Moscow,4,86.96,55.2,24.2,2,4,Designer,39210078.0
2621,New building,Красногвардейская,13,Moscow region,3,25.06,14.0,3.9,4,20,Cosmetic,4860306.0
2622,Secondary,Трубная,19,Moscow,4,96.06,40.3,18.8,15,22,Without renovation,52573012.0
2623,Secondary,Строгино,15,Moscow,0,35.91,27.0,8.8,1,11,European-style renovation,4660564.0
2624,Secondary,Фили,19,Moscow,1,37.5,19.9,10.2,1,14,Cosmetic,5887046.0
2625,Secondary,Калужская,18,Moscow,4,100.78,66.4,18.1,7,21,Without renovation,26975753.0
2626,Secondary,Таганская,12,Moscow,3,14.82,11.4,5.1,10,9,Cosmetic,10415470.0
2627,Secondary,Алексеевская,12,Moscow,3,111.74,77.3,20.0,7,14,European-style renovation,71436880.0
2628,New building,Фрунзенская,13,Moscow,2,42.98,11.2,16.4,8,14,Cosmetic,28568626.0
2629,Secondary,Лужники,7,Moscow,4,179.49,56.1,24.6,5,5,European-style renovation,168404328.0
2630,New building,Братиславская,12,Moscow,4,174.2,100.2,20.0,5,16,Cosmetic,18707993.0
2631,Secondary,Серпуховская,12,Moscow,0,76.3,39.0,6.4,13,11,European-style renovation,35212596.0
2632,Secondary,Чертановская,6,Moscow,2,45.41,26.9,4.8,20,20,European-style renovation,17696854.0
2633,New building,Братиславская,13,Moscow,1,48.24,21.5,18.9,21,9,Cosmetic,5072052.0
2634,New building,Аминьевская,12,Moscow,3,64.78,31.1,15.2,2,15,Cosmetic,18535017.0
2635,Secondary,Первомайская,16,Moscow,3,56.07,42.9,11.5,6,8,Cosmetic,17354296.0
2636,Secondary,Селигерская,23,Moscow,2,29.32,12.6,17.8,1,6,Cosmetic,8283248.0
2637,Secondary,Проспект Мира,6,Moscow,0,14.15,10.1,7.8,1,5,Designer,9419514.0
2638,Secondary,Калитники,11,Moscow,3,132.18,101.5,20.0,2,24,Designer,28504060.0
2639,Secondary,Китай-город,12,Moscow,6,64.68,26.8,15.4,7,20,Designer,56069241.0
2640,Secondary,Третьяковская,26,Moscow,1,32.86,16.4,8.9,7,14,Designer,26324424.0
2641,Secondary,Чертановская,12,Moscow,3,44.58,23.1,8.1,1,9,European-style renovation,9881162.0
2642,Secondary,Домодедовская,14,Moscow region,4,93.38,48.4,15.8,21,21,Without renovation,12609190.0
2643,Secondary,Нагатинский Затон,5,Moscow,4,91.01,60.9,23.5,1,4,Designer,40172576.0
2644,Secondary,Раменки,19,Moscow,0,20.64,12.1,5.7,19,9,European-style renovation,8058086.0
2645,Secondary,Динамо,5,Moscow,3,62.7,43.8,10.8,2,44,Designer,22208533.0
2646,Secondary,Медведково,25,Moscow,3,43.44,34.1,8.6,6,14,Without renovation,13690542.0
2647,New building,Красногвардейская,4,Moscow region,1,67.45,40.5,8.1,6,15,Cosmetic,8259739.0
2648,Secondary,Панфиловская,15,Moscow,1,45.42,30.6,7.1,7,14,Without renovation,17156176.0
2649,New building,Братиславская,12,Moscow,6,40.43,13.2,18.4,14,17,Cosmetic,12205237.0
2650,Secondary,Сокольники,7,Moscow,2,87.59,48.9,12.0,4,14,European-style renovation,32173285.0
2651,Secondary,Лужники,19,Moscow,0,32.49,23.2,8.8,1,14,European-style renovation,11030085.0
2652,Secondary,Аминьевская,4,Moscow,4,132.69,97.0,25.8,18,6,European-style renovation,86418166.0
2653,Secondary,Лефортово,5,Moscow,4,112.37,52.2,25.3,7,22,European-style renovation,34290462.0
2654,Secondary,Академическая,9,Moscow,4,322.45,170.6,21.9,4,3,European-style renovation,162725354.0
2655,New building,Котельники,3,Moscow region,3,98.59,43.6,5.1,21,14,Cosmetic,7137272.0
2656,New building,Жулебино,10,Moscow region,1,85.23,43.4,13.2,1,14,Cosmetic,13283543.0
2657,Secondary,Кутузовская,11,Moscow,1,40.88,30.4,3.9,6,21,European-style renovation,10094867.0
2658,New building,Братиславская,2,Moscow,2,25.47,13.4,11.5,9,15,Cosmetic,11082461.0
2659,Secondary,Люблино,9,Moscow,2,52.33,15.6,19.1,9,22,Without renovation,17111956.0
2660,New building,Жулебино,19,Moscow region,1,27.51,13.9,12.8,11,20,Cosmetic,3043254.0
2661,Secondary,ЦСКА,4,Moscow,4,96.46,55.2,17.6,1,19,European-style renovation,61073532.0
2662,New building,Братиславская,19,Moscow,1,40.74,23.3,7.8,6,16,Cosmetic,8005032.0
2663,Secondary,Дмитровская,4,Moscow,4,188.89,122.7,29.2,35,23,Designer,106686775.0
2664,Secondary,Алма-Атинская,22,Moscow region,5,81.68,45.8,10.7,4,7,Designer,23206951.0
2665,Secondary,Охотный ряд,9,Moscow,6,311.82,145.0,13.5,5,17,European-style renovation,211744480.0
2666,Secondary,Текстильщики,19,Moscow,6,136.44,86.0,20.2,13,5,European-style renovation,29075989.0
2667,Secondary,Красногвардейская,12,Moscow region,0,40.98,24.1,8.4,21,20,Cosmetic,8388830.0
2668,Secondary,Трикотажная,25,Moscow,1,71.88,47.5,10.5,7,21,Without renovation,11104729.0
2669,New building,Каширская,13,Moscow,1,44.98,27.4,11.1,15,20,Cosmetic,17435815.0
2670,Secondary,Павшино,12,Moscow,2,56.95,29.2,9.8,11,15,Cosmetic,10907345.0
2671,Secondary,Улица 1905 года,18,Moscow,3,78.52,45.1,12.0,10,64,Designer,72828499.0
2672,Secondary,Соколиная Гора,17,Moscow,3,106.02,93.0,17.2,3,14,Cosmetic,24688904.0
2673,Secondary,Опалиха,5,Moscow region,0,31.73,21.5,4.8,2,9,Cosmetic,5916783.0
2674,Secondary,Выхино,12,Moscow,4,76.37,47.7,18.7,28,23,Without renovation,28947733.0
2675,Secondary,Народное Ополчение,19,Moscow,0,69.32,38.2,8.6,19,10,European-style renovation,13358872.0
2676,Secondary,Полянка,15,Moscow,1,40.55,30.9,5.0,1,14,Cosmetic,10421033.0
2677,Secondary,Международная,8,Moscow,0,18.07,11.2,8.6,1,10,Designer,5228399.0
2678,Secondary,Белорусская,13,Moscow,6,232.24,150.8,22.1,2,5,European-style renovation,234595353.0
2679,Secondary,Смоленская,12,Moscow,6,276.29,152.5,27.3,1,69,European-style renovation,367297308.0
2680,Secondary,Силикатная,13,Moscow,1,48.03,24.1,9.6,16,5,Cosmetic,7494270.0
2681,Secondary,Новоясеневская,18,Moscow,2,86.74,35.5,12.6,5,21,Cosmetic,15942396.0
2682,Secondary,Окружная,19,Moscow,3,63.18,33.6,10.2,4,23,European-style renovation,19068063.0
2683,Secondary,Деловой центр,19,Moscow,2,88.66,68.6,5.0,2,25,Without renovation,45263477.0
2684,Secondary,Белорусская,12,Moscow,3,49.03,38.4,20.2,20,14,Designer,28668433.0
2685,Secondary,ЗИЛ,19,Moscow,4,124.75,27.2,21.4,6,8,Without renovation,106411115.0
2686,Secondary,Некрасовка,12,Moscow region,4,109.72,68.7,19.1,16,19,European-style renovation,27594526.0
2687,New building,Братиславская,13,Moscow,2,48.86,15.8,6.1,13,20,Cosmetic,6181359.0
2688,Secondary,Аминьевская,19,Moscow,1,44.85,26.6,16.5,30,12,Designer,20079643.0
2689,Secondary,Братиславская,16,Moscow,2,73.95,64.0,8.5,5,14,Cosmetic,12875073.0
2690,New building,Площадь Ильича,13,Moscow,1,30.74,15.1,10.1,3,45,Cosmetic,6342583.0
2691,Secondary,Юго-Западная,13,Moscow,1,36.58,20.6,7.9,4,34,Cosmetic,21718435.0
2692,Secondary,Чкаловская,5,Moscow,4,306.83,147.7,40.2,1,9,European-style renovation,205181731.0
2693,Secondary,Зюзино,7,Moscow,3,68.58,40.1,20.9,20,21,Without renovation,39503115.0
2694,Secondary,Маяковская,14,Moscow,1,73.6,44.2,15.7,8,14,Cosmetic,34887372.0
2695,Secondary,Автозаводская,19,Moscow,1,27.43,17.5,8.7,7,46,Cosmetic,9821477.0
2696,Secondary,Полянка,41,Moscow,0,36.32,21.7,8.8,1,10,European-style renovation,6949898.0
2697,Secondary,Маяковская,12,Moscow,5,180.27,85.8,21.8,4,5,European-style renovation,133817999.0
2698,Secondary,Новогиреево,15,Moscow,3,98.33,53.8,20.5,1,11,European-style renovation,28125280.0
2699,Secondary,Нижегородская,19,Moscow,0,21.38,11.4,6.1,1,16,European-style renovation,6482584.0
2700,Secondary,Котельники,19,Moscow region,1,69.15,29.8,22.0,20,10,Designer,15071619.0
2701,Secondary,Кленовый бульвар,9,Moscow,4,118.43,62.1,11.9,9,36,European-style renovation,40274042.0
2702,Secondary,Карамышевская,13,Moscow,0,18.65,10.3,9.2,1,9,Designer,9779131.0
2703,Secondary,Новые Черемушки,13,Moscow,4,65.37,44.3,12.2,1,14,Designer,21075314.0
2704,New building,Рижская,19,Moscow,4,125.75,63.7,20.2,4,23,Designer,28814483.0
2705,Secondary,Коломенская,6,Moscow,0,12.65,9.2,9.1,6,10,Cosmetic,2691026.0
2706,Secondary,Марксистская,7,Moscow,3,65.18,47.1,9.8,14,22,European-style renovation,14783986.0
2707,Secondary,Новопеределкино,14,Moscow,0,22.75,12.5,10.1,1,10,European-style renovation,5812974.0
2708,Secondary,Коммунарка,10,Moscow,6,17.09,7.4,4.1,3,6,European-style renovation,10278347.0
2709,Secondary,Хлебниково,13,Moscow,1,25.45,15.1,8.6,20,21,Without renovation,11566547.0
2710,Secondary,Щелковская,9,Moscow,0,34.37,25.9,8.8,3,9,Cosmetic,12411829.0
2711,Secondary,Окская,12,Moscow,4,49.39,15.6,8.7,18,25,Without renovation,7305762.0
2712,Secondary,Москва-Товарная,13,Moscow,1,30.88,13.5,8.7,20,9,Designer,11856305.0
2713,New building,Жулебино,12,Moscow region,3,52.11,30.8,6.3,9,17,Cosmetic,5300409.0
2714,Secondary,Беговая,9,Moscow,4,160.24,80.1,30.4,29,7,European-style renovation,111941491.0
2715,Secondary,Угрешская,6,Moscow,2,27.79,17.5,8.3,2,10,European-style renovation,10980044.0
2716,New building,Жулебино,13,Moscow region,3,39.9,26.3,12.0,14,20,Cosmetic,3942513.0
2717,Secondary,Тверская,6,Moscow,4,163.09,77.7,43.1,2,6,European-style renovation,140124730.0
2718,Secondary,Тестовская,13,Moscow,0,15.55,11.9,10.3,23,5,Designer,11920874.0
2719,Secondary,Минская,5,Moscow,4,110.6,23.8,22.2,9,7,Without renovation,111122698.0
2720,Secondary,Хорошево,4,Moscow,6,130.85,39.2,23.8,1,7,European-style renovation,53806092.0
2721,Secondary,Динамо,7,Moscow,4,109.36,65.4,10.0,1,5,European-style renovation,44640478.0
2722,Secondary,ЗИЛ,5,Moscow,5,189.8,88.8,8.7,9,90,European-style renovation,65400138.0
2723,Secondary,Коммунарка,5,Moscow,6,88.91,76.0,19.0,26,14,European-style renovation,13298293.0
2724,New building,Электрозаводская,6,Moscow,4,95.89,53.0,19.9,22,52,European-style renovation,20057629.0
2725,New building,Братиславская,6,Moscow,2,32.11,16.0,11.8,15,17,Cosmetic,10586726.0
2726,Secondary,Новоподрезково,4,Moscow,4,82.4,50.9,21.3,24,22,Designer,24934747.0
2727,Secondary,Кантемировская,14,Moscow,4,87.78,19.3,17.3,10,16,Without renovation,20326807.0
2728,Secondary,Багратионовская,5,Moscow,1,36.57,25.3,4.8,5,22,Cosmetic,20282316.0
2729,Secondary,Октябрьское поле,19,Moscow,3,25.3,15.1,5.9,1,5,European-style renovation,9050742.0
2730,Secondary,Беговая,8,Moscow,5,231.95,98.4,28.2,3,11,European-style renovation,81500325.0
2731,Secondary,Ольховая,12,Moscow,0,34.67,26.6,8.3,5,10,European-style renovation,11518222.0
2732,Secondary,Щелковская,13,Moscow,4,136.29,98.6,20.3,9,22,Designer,33461003.0
2733,Secondary,Минская,12,Moscow,4,146.18,73.9,27.6,2,24,European-style renovation,67648956.0
2734,Secondary,Спортивная,6,Moscow,5,286.8,139.0,24.3,1,5,European-style renovation,443028151.0
2735,New building,Марьино,4,Moscow,4,89.99,54.6,19.2,5,16,European-style renovation,24630077.0
2736,Secondary,Раменки,13,Moscow,0,29.6,12.5,5.8,7,9,Cosmetic,10083014.0
2737,Secondary,Зябликово,6,Moscow region,1,44.14,24.0,8.6,1,8,Without renovation,7670854.0
2738,Secondary,Медведково,6,Moscow,0,28.61,18.3,8.5,1,16,European-style renovation,5022991.0
2739,Secondary,Кленовый бульвар,6,Moscow,1,111.05,55.0,16.8,1,22,Without renovation,20102092.0
2740,New building,Битца,4,Moscow region,3,56.7,19.1,20.6,6,17,Cosmetic,6105605.0
2741,Secondary,Павшино,5,Moscow region,4,73.33,37.8,20.1,1,17,European-style renovation,14862378.0
2742,New building,Котельники,13,Moscow region,1,55.27,40.8,18.6,21,16,Cosmetic,5423841.0
2743,New building,Новокузнецкая,12,Moscow,4,110.86,60.1,15.1,4,14,Cosmetic,53375972.0
2744,Secondary,Павелецкая,11,Moscow,0,21.83,11.4,8.3,1,4,Without renovation,8198018.0
2745,Secondary,ЗИЛ,4,Moscow,1,17.02,8.2,8.2,1,9,Cosmetic,10963076.0
2746,Secondary,Жулебино,5,Moscow region,0,20.66,12.9,4.6,1,9,European-style renovation,4072261.0
2747,New building,Депо,15,Moscow,1,81.23,61.8,9.8,6,14,Cosmetic,13235993.0
2748,Secondary,Выставочная,14,Moscow,1,150.9,66.1,8.4,1,9,Cosmetic,79790168.0
2749,Secondary,Кузьминки,8,Moscow,0,18.78,13.3,17.9,2,9,European-style renovation,8348593.0
2750,Secondary,Мичуринский проспект,6,Moscow,0,30.25,23.0,4.7,1,34,European-style renovation,14080894.0
2751,Secondary,Ясенево,7,Moscow,3,101.88,71.5,20.7,1,21,European-style renovation,33258184.0
2752,New building,Братиславская,4,Moscow,1,27.65,20.2,7.6,11,14,Cosmetic,4452970.0
2753,Secondary,Пионерская,22,Moscow,4,73.44,42.6,18.9,4,22,European-style renovation,14824640.0
2754,Secondary,Смоленская,19,Moscow,6,378.79,135.1,25.7,2,45,European-style renovation,188847270.0
2755,Secondary,Стрешнево,14,Moscow,4,102.69,44.4,13.5,8,20,European-style renovation,27951031.0
2756,New building,Братиславская,19,Moscow,3,20.97,10.8,8.7,2,14,Cosmetic,4038789.0
2757,Secondary,Кленовый бульвар,12,Moscow,6,29.69,11.2,10.0,3,24,Designer,6462204.0
2758,Secondary,Бескудниково,4,Moscow,4,79.8,60.6,19.2,15,23,European-style renovation,26886907.0
2759,New building,Каширская,12,Moscow,2,55.57,12.6,10.0,7,20,Cosmetic,19046661.0
2760,Secondary,Щербинка,3,Moscow,3,55.95,39.2,17.0,4,21,European-style renovation,22668087.0
2761,Secondary,Ясенево,13,Moscow,0,19.51,10.7,8.5,1,8,European-style renovation,5756725.0
2762,Secondary,Выставочная,19,Moscow,4,94.46,53.0,18.3,3,16,European-style renovation,45684137.0
2763,Secondary,Пятницкое шоссе,15,Moscow,4,94.52,60.1,21.5,1,19,Without renovation,13217770.0
2764,Secondary,Лихоборы,24,Moscow,0,32.04,22.6,4.5,1,10,European-style renovation,5991905.0
2765,Secondary,Преображенская площадь,21,Moscow,0,30.13,22.8,8.4,1,9,Designer,9970653.0
2766,Secondary,Нахабино,5,Moscow region,0,20.55,13.7,8.5,1,28,Without renovation,3857883.0
2767,Secondary,Хорошёво,19,Moscow,3,77.06,38.2,20.3,1,20,Designer,48548036.0
2768,New building,Зюзино,12,Moscow,4,139.1,60.4,10.2,12,14,European-style renovation,23498627.0
2769,Secondary,Преображенская площадь,6,Moscow,5,121.66,41.7,22.8,3,10,European-style renovation,22158369.0
2770,Secondary,Коммунарка,16,Moscow,0,18.81,9.3,6.6,1,24,European-style renovation,3532418.0
2771,Secondary,Красногвардейская,19,Moscow region,0,20.91,18.5,8.3,31,10,European-style renovation,7389160.0
2772,Secondary,Преображенская площадь,11,Moscow,0,23.38,12.6,9.8,1,5,European-style renovation,4734652.0
2773,Secondary,Тургеневская,3,Moscow,1,43.73,24.6,7.7,17,8,European-style renovation,11760786.0
2774,Secondary,Красные ворота,7,Moscow,4,35.31,26.7,7.0,5,10,European-style renovation,9879989.0
2775,Secondary,Окружная,2,Moscow,4,131.4,72.6,18.7,7,22,European-style renovation,43455967.0
2776,New building,Динамо,16,Moscow,4,97.25,60.2,19.6,3,16,Cosmetic,20653251.0
2777,New building,Домодедовская,16,Moscow region,6,46.77,27.4,10.2,2,10,Cosmetic,3731370.0
2778,Secondary,Пыхтино,15,Moscow,3,125.63,64.4,19.6,2,4,European-style renovation,42948116.0
2779,Secondary,ЦСКА,7,Moscow,2,64.53,43.9,11.7,6,8,Designer,25249153.0
2780,Secondary,Остафьево,17,Moscow,0,21.07,12.8,5.7,18,9,Cosmetic,7793924.0
2781,Secondary,Братиславская,19,Moscow,1,47.2,12.7,11.4,11,10,Designer,12901432.0
2782,Secondary,Динамо,14,Moscow,3,20.91,8.7,14.0,1,10,Designer,8884871.0
2783,Secondary,Угрешская,8,Moscow,4,116.07,66.1,21.6,1,14,European-style renovation,41027409.0
2784,New building,Рассказовка,4,Moscow,2,123.16,87.4,20.1,5,20,Cosmetic,21283888.0
2785,New building,Зябликово,9,Moscow region,4,60.73,11.7,11.4,1,14,Designer,14278904.0
2786,Secondary,Славянский бульвар,7,Moscow,5,231.21,121.8,24.1,2,23,European-style renovation,163090757.0
2787,Secondary,Шелепиха,18,Moscow,4,118.16,70.1,8.0,20,21,European-style renovation,50914731.0
2788,Secondary,Чистые пруды,12,Moscow,3,98.55,56.5,23.8,23,15,Designer,78907845.0
2789,Secondary,Домодедовская,19,Moscow,6,129.04,98.6,19.1,3,34,Designer,43246496.0
2790,Secondary,Бунинская Аллея,13,Moscow,6,120.19,51.2,14.6,3,12,European-style renovation,41339275.0
2791,New building,Красногвардейская,13,Moscow region,1,44.76,31.3,8.3,10,20,Cosmetic,5455156.0
2792,Secondary,Речной вокзал,13,Moscow,0,32.95,24.0,9.0,1,8,European-style renovation,5852042.0
2793,New building,Котельники,13,Moscow region,3,31.41,12.6,8.4,8,20,Cosmetic,4385505.0
2794,Secondary,Павелецкая,28,Moscow,0,34.66,21.5,4.6,3,10,Cosmetic,17154107.0
2795,Secondary,Улица Скобелевская,13,Moscow,2,77.03,31.5,16.9,1,23,European-style renovation,15984700.0
2796,Secondary,Краснопресненская,12,Moscow,4,125.23,58.4,19.1,4,20,Designer,89140550.0
2797,New building,Коммунарка,12,Moscow,3,65.91,38.6,10.3,1,9,Cosmetic,11730699.0
2798,Secondary,Баррикадная,18,Moscow,3,83.99,57.7,17.8,7,11,European-style renovation,49534125.0
2799,Secondary,Улица Старокачаловская,10,Moscow region,1,29.95,22.2,8.2,1,9,European-style renovation,7083016.0
2800,Secondary,Аннино,4,Moscow,2,25.0,14.6,8.4,14,22,Without renovation,11098227.0
2801,Secondary,Аэропорт Внуково,8,Moscow,0,24.03,20.3,5.8,1,9,European-style renovation,7041145.0
2802,Secondary,Автозаводская,18,Moscow,0,24.73,21.6,6.1,1,10,Designer,10564103.0
2803,Secondary,Бульвар Дмитрия Донского,24,Moscow,4,45.83,15.6,19.9,1,10,Cosmetic,12623854.0
2804,New building,Селигерская,13,Moscow,2,42.28,22.8,11.3,9,17,Cosmetic,5960540.0
2805,Secondary,Бутово,19,Moscow region,4,110.07,49.8,17.6,13,19,European-style renovation,19938781.0
2806,Secondary,Петровский Парк,11,Moscow,4,282.05,142.0,37.2,5,22,European-style renovation,233997357.0
2807,New building,Красногвардейская,11,Moscow region,2,95.19,65.0,5.5,21,16,Cosmetic,9989895.0
2808,Secondary,Студенческая,11,Moscow,3,157.97,73.9,7.2,5,8,European-style renovation,81631051.0
2809,New building,Братиславская,13,Moscow,3,22.29,12.9,19.1,10,20,Cosmetic,4445549.0
2810,New building,Красногвардейская,13,Moscow region,1,33.93,18.9,7.7,9,14,Cosmetic,3010836.0
2811,Secondary,Коммунарка,12,Moscow,0,17.38,12.8,8.7,1,4,European-style renovation,2613161.0
2812,New building,Улица 1905 года,19,Moscow,3,53.76,25.4,18.1,2,22,Cosmetic,11884119.0
2813,New building,Дмитровская,13,Moscow,1,85.52,42.6,23.7,9,11,Cosmetic,23978684.0
2814,New building,Каширская,13,Moscow,4,71.59,32.5,20.1,7,23,Cosmetic,18691264.0
2815,Secondary,Аннино,7,Moscow,0,21.82,12.2,8.5,1,4,European-style renovation,6188650.0
2816,Secondary,Косино,13,Moscow,6,35.57,24.3,21.7,1,11,European-style renovation,5074156.0
2817,New building,Домодедовская,19,Moscow region,1,32.01,12.5,11.1,7,15,Cosmetic,7299035.0
2818,New building,Каширская,13,Moscow,2,60.08,27.4,18.9,3,17,Cosmetic,20890711.0
2819,Secondary,Таганская,11,Moscow,4,53.23,28.7,17.9,4,24,European-style renovation,25102430.0
2820,Secondary,Бульвар Дмитрия Донского,12,Moscow,2,44.99,29.5,20.3,6,14,Cosmetic,15591903.0
2821,Secondary,Жулебино,14,Moscow region,1,26.55,8.9,6.0,15,9,Without renovation,3251182.0
2822,Secondary,Панфиловская,13,Moscow,3,72.25,26.9,18.6,7,14,Cosmetic,37918817.0
2823,Secondary,Калитники,19,Moscow,0,29.25,26.1,6.2,1,11,European-style renovation,8736148.0
2824,Secondary,Ботанический сад,7,Moscow,1,33.43,18.1,4.6,13,16,Cosmetic,14285433.0
2825,Secondary,Щелковская,19,Moscow,0,29.7,20.1,6.5,4,5,European-style renovation,5996959.0
2826,New building,Минская,16,Moscow,3,94.52,38.7,18.3,2,12,Cosmetic,38299884.0
2827,New building,Зябликово,14,Moscow region,2,29.98,13.2,7.6,17,14,Cosmetic,3129568.0
2828,New building,Братиславская,12,Moscow,2,53.8,38.6,9.9,5,14,Cosmetic,14172210.0
2829,Secondary,Пыхтино,16,Moscow,2,109.42,44.5,19.1,11,21,Without renovation,22926189.0
2830,New building,Домодедовская,5,Moscow region,2,63.89,36.7,19.9,6,8,Cosmetic,5429874.0
2831,Secondary,Технопарк,19,Moscow,1,49.23,30.9,12.4,21,17,Designer,21848602.0
2832,Secondary,Калитники,12,Moscow,3,93.01,26.3,21.7,2,10,Designer,37241997.0
2833,Secondary,Калужская,18,Moscow,1,33.14,14.9,8.0,19,10,Without renovation,16155630.0
2834,Secondary,Марксистская,13,Moscow,0,22.1,17.5,10.3,18,11,European-style renovation,12042055.0
2835,Secondary,Народное Ополчение,4,Moscow,1,73.52,40.7,15.4,9,21,Designer,45543098.0
2836,New building,Котельники,11,Moscow region,1,47.63,12.1,5.4,8,38,Cosmetic,4451994.0
2837,Secondary,Рязанский проспект,8,Moscow,4,163.04,59.3,18.5,4,43,European-style renovation,35172323.0
2838,Secondary,Красный Балтиец,8,Moscow,0,11.99,7.2,23.8,1,11,European-style renovation,6561338.0
2839,New building,Жулебино,6,Moscow region,1,41.42,15.8,7.9,23,14,Cosmetic,3438599.0
2840,Secondary,Улица 1905 года,4,Moscow,3,46.37,23.4,19.7,1,23,Cosmetic,29400697.0
2841,New building,Котельники,19,Moscow region,4,91.06,46.3,11.9,6,4,Cosmetic,9227403.0
2842,New building,Зябликово,12,Moscow region,2,38.83,11.9,11.3,12,20,Cosmetic,7827977.0
2843,New building,Красногвардейская,13,Moscow region,1,29.11,12.5,8.6,5,10,Cosmetic,5985168.0
2844,Secondary,Петровский Парк,13,Moscow,1,41.14,23.5,5.9,1,9,European-style renovation,17591960.0
2845,Secondary,Прокшино,6,Moscow,3,141.71,72.5,20.2,6,22,European-style renovation,55706333.0
2846,Secondary,Савеловская,18,Moscow,0,20.41,12.3,6.1,1,9,Without renovation,8332133.0
2847,Secondary,Депо,12,Moscow,1,26.36,13.8,8.9,19,24,Designer,14487933.0
2848,Secondary,Жулебино,12,Moscow region,0,22.68,13.2,10.1,2,8,Without renovation,3693770.0
2849,Secondary,Калитники,18,Moscow,6,23.92,20.4,8.5,12,5,European-style renovation,5002747.0
2850,Secondary,Раменки,19,Moscow,3,55.63,35.1,25.7,1,36,Without renovation,21827408.0
2851,Secondary,Серпуховская,19,Moscow,4,124.22,64.2,12.1,3,23,Designer,44829344.0
2852,Secondary,Минская,12,Moscow,4,100.17,63.7,19.7,2,23,Without renovation,41220165.0
2853,New building,Красногвардейская,12,Moscow region,2,24.34,9.3,10.7,19,11,Cosmetic,6144842.0
2854,New building,Братиславская,12,Moscow,1,60.19,24.0,12.1,1,5,Cosmetic,16542660.0
2855,Secondary,Бутово,19,Moscow region,1,42.37,16.9,18.4,4,35,Without renovation,5933816.0
2856,New building,Каширская,19,Moscow,0,46.02,29.9,8.9,2,9,Cosmetic,10846598.0
2857,Secondary,Спортивная,18,Moscow,2,38.82,20.1,5.9,18,14,Without renovation,33622868.0
2858,Secondary,Кузьминки,15,Moscow,3,61.58,31.7,20.5,1,21,European-style renovation,22086638.0
2859,Secondary,Нахимовский проспект,13,Moscow,1,40.82,24.8,9.0,4,17,Designer,12389496.0
2860,New building,Каширская,13,Moscow,1,31.42,11.8,11.5,18,20,Cosmetic,13909824.0
2861,New building,Братиславская,19,Moscow,3,39.09,26.7,6.7,16,14,Cosmetic,8427092.0
2862,Secondary,Красные ворота,19,Moscow,0,16.55,12.3,8.2,1,6,European-style renovation,3204700.0
2863,Secondary,Таганская,3,Moscow,2,55.82,32.6,5.9,5,31,European-style renovation,26400521.0
2864,Secondary,Красногвардейская,4,Moscow region,0,17.07,9.6,4.9,1,10,European-style renovation,2377978.0
2865,Secondary,Бабушкинская,7,Moscow,1,41.19,14.2,10.4,9,21,Cosmetic,9606955.0
2866,Secondary,Ховрино,7,Moscow,2,66.23,29.9,29.1,22,14,Cosmetic,17772053.0
2867,Secondary,Ясенево,12,Moscow,2,100.8,72.2,20.5,7,24,European-style renovation,13295472.0
2868,Secondary,Бульвар Рокоссовского,5,Moscow,4,87.38,42.5,19.8,19,23,European-style renovation,17228934.0
2869,Secondary,Бабушкинская,9,Moscow,3,84.64,43.1,9.1,21,40,Without renovation,29081653.0
2870,Secondary,Аэропорт,8,Moscow,0,42.47,13.6,8.9,23,10,Without renovation,14388755.0
2871,Secondary,Филатов Луг,23,Moscow,0,49.76,20.1,8.8,8,9,European-style renovation,15385726.0
2872,Secondary,Чистые пруды,12,Moscow,4,49.64,19.4,20.1,8,9,European-style renovation,38923271.0
2873,Secondary,Бутово,5,Moscow region,0,28.99,10.5,7.8,5,10,Without renovation,3513447.0
2874,Secondary,Алексеевская,13,Moscow,1,38.93,22.7,10.0,15,12,Without renovation,19182197.0
2875,Secondary,Текстильщики,6,Moscow,0,19.83,11.6,4.4,1,11,European-style renovation,4015627.0
2876,Secondary,Минская,11,Moscow,6,108.98,62.4,18.8,3,8,European-style renovation,70316231.0
2877,Secondary,Ботанический сад,20,Moscow,3,61.61,23.8,19.4,1,11,European-style renovation,17005786.0
2878,Secondary,Тульская,9,Moscow,3,32.8,13.2,10.0,7,8,Without renovation,13003555.0
2879,Secondary,Волоколамская,12,Moscow,4,88.51,60.3,18.2,3,20,Without renovation,24998093.0
2880,Secondary,Братиславская,20,Moscow region,4,114.7,57.3,18.9,2,16,Designer,20688258.0
